human_resistance,gsr_average,emotion
-81,215,Heyecanlı Durum
-496,426,Üzgün Durum
-2888,450,Üzgün Durum
19,350,Mutlu Durum
-9,13,Rahatlamış Durum
-617,323,Üzgün Durum
27,352,Mutlu Durum
-18,133,Şaşırmış Durum
-8,203,Şaşırmış Durum
-36,21,Rahatlamış Durum
-56,22,Rahatlamış Durum
-1529,583,Üzgün Durum
-26,25,Rahatlamış Durum
-3034,489,Üzgün Durum
0,90,Heyecanlı Durum
-85,71,Heyecanlı Durum
-85,203,Heyecanlı Durum
-60,816,Sinirli Durum
-28,141,Şaşırmış Durum
-12,26,Rahatlamış Durum
-54,26,Rahatlamış Durum
-36,178,Şaşırmış Durum
-1574,513,Üzgün Durum
-16,190,Şaşırmış Durum
-57,800,Sinirli Durum
-214,68,Üzgün Durum
0,193,Şaşırmış Durum
-50,36,Sinirli Durum
-80,638,Sinirli Durum
-19,14,Rahatlamış Durum
-52,17,Rahatlamış Durum
-16,24,Rahatlamış Durum
9,253,Şaşırmış Durum
-89,801,Sinirli Durum
35,449,Mutlu Durum
-41,149,Heyecanlı Durum
-10,27,Rahatlamış Durum
8,181,Heyecanlı Durum
20,359,Mutlu Durum
-72,148,Heyecanlı Durum
-26,123,Heyecanlı Durum
-2,184,Heyecanlı Durum
-29,126,Heyecanlı Durum
-1048,421,Üzgün Durum
-47,23,Rahatlamış Durum
-1690,442,Üzgün Durum
-100,544,Sinirli Durum
32,16,Rahatlamış Durum
1,247,Şaşırmış Durum
-99,335,Sinirli Durum
-52,477,Sinirli Durum
34,472,Mutlu Durum
-39,27,Rahatlamış Durum
4,20,Rahatlamış Durum
-26,145,Şaşırmış Durum
-91,622,Sinirli Durum
28,355,Mutlu Durum
-1182,128,Üzgün Durum
-2615,621,Üzgün Durum
-15,36,Rahatlamış Durum
-61,142,Sinirli Durum
27,413,Mutlu Durum
17,361,Mutlu Durum
-1740,112,Üzgün Durum
-33,15,Rahatlamış Durum
-17,185,Şaşırmış Durum
35,441,Mutlu Durum
-16,25,Rahatlamış Durum
-77,753,Sinirli Durum
-722,586,Üzgün Durum
-39,31,Sinirli Durum
29,173,Şaşırmış Durum
-39,128,Heyecanlı Durum
-42,88,Sinirli Durum
-13,129,Şaşırmış Durum
-21,149,Şaşırmış Durum
34,448,Mutlu Durum
-93,99,Sinirli Durum
-104,345,Sinirli Durum
24,157,Heyecanlı Durum
22,175,Heyecanlı Durum
-38,301,Sinirli Durum
-1771,237,Üzgün Durum
26,408,Mutlu Durum
-1462,17,Üzgün Durum
-14,219,Şaşırmış Durum
-53,79,Heyecanlı Durum
-20,138,Şaşırmış Durum
18,71,Heyecanlı Durum
-20,12,Rahatlamış Durum
-19,177,Şaşırmış Durum
23,448,Mutlu Durum
3,254,Şaşırmış Durum
-35,610,Sinirli Durum
-79,76,Heyecanlı Durum
35,478,Mutlu Durum
-39,26,Rahatlamış Durum
-47,13,Rahatlamış Durum
-22,17,Rahatlamış Durum
-99,744,Sinirli Durum
21,373,Mutlu Durum
-43,13,Rahatlamış Durum
-61,218,Heyecanlı Durum
-18,143,Heyecanlı Durum
12,211,Şaşırmış Durum
-64,88,Heyecanlı Durum
17,366,Mutlu Durum
-74,693,Sinirli Durum
27,34,Üzgün Durum
34,435,Mutlu Durum
-2529,59,Üzgün Durum
25,442,Mutlu Durum
-36,13,Rahatlamış Durum
-23,30,Rahatlamış Durum
-2953,444,Üzgün Durum
-10,245,Şaşırmış Durum
-54,234,Sinirli Durum
-73,715,Sinirli Durum
33,442,Mutlu Durum
10,222,Şaşırmış Durum
-1038,399,Üzgün Durum
9,136,Şaşırmış Durum
-49,657,Üzgün Durum
-2269,34,Üzgün Durum
-57,676,Sinirli Durum
11,231,Şaşırmış Durum
-97,50,Sinirli Durum
-36,14,Rahatlamış Durum
-37,50,Heyecanlı Durum
-76,620,Sinirli Durum
-69,465,Sinirli Durum
-57,20,Rahatlamış Durum
28,443,Mutlu Durum
-60,117,Sinirli Durum
11,195,Heyecanlı Durum
-65,28,Rahatlamış Durum
30,12,Rahatlamış Durum
-3177,780,Üzgün Durum
-87,345,Sinirli Durum
-52,130,Heyecanlı Durum
-68,17,Rahatlamış Durum
15,469,Mutlu Durum
-314,313,Üzgün Durum
-29,185,Şaşırmış Durum
-60,319,Sinirli Durum
34,31,Rahatlamış Durum
-36,136,Heyecanlı Durum
26,407,Mutlu Durum
-2707,274,Üzgün Durum
-46,222,Sinirli Durum
-1371,224,Üzgün Durum
-40,128,Şaşırmış Durum
34,458,Mutlu Durum
0,131,Heyecanlı Durum
-3139,47,Üzgün Durum
-47,600,Sinirli Durum
-3068,295,Üzgün Durum
-46,118,Heyecanlı Durum
-76,760,Sinirli Durum
-1095,758,Üzgün Durum
-62,415,Sinirli Durum
-37,108,Heyecanlı Durum
20,380,Mutlu Durum
18,61,Heyecanlı Durum
29,33,Rahatlamış Durum
-30,187,Şaşırmış Durum
-14,32,Rahatlamış Durum
16,371,Mutlu Durum
-25,151,Heyecanlı Durum
-500,489,Üzgün Durum
-66,806,Sinirli Durum
1,21,Rahatlamış Durum
-13,20,Rahatlamış Durum
19,76,Heyecanlı Durum
-23,125,Şaşırmış Durum
-10,252,Şaşırmış Durum
33,407,Mutlu Durum
26,450,Mutlu Durum
22,141,Heyecanlı Durum
-1356,52,Üzgün Durum
-93,71,Sinirli Durum
-56,745,Sinirli Durum
7,197,Şaşırmış Durum
-47,131,Heyecanlı Durum
4,136,Heyecanlı Durum
-45,103,Sinirli Durum
32,456,Mutlu Durum
13,35,Rahatlamış Durum
-22,51,Heyecanlı Durum
-15,258,Şaşırmış Durum
7,32,Rahatlamış Durum
29,246,Şaşırmış Durum
30,15,Rahatlamış Durum
15,430,Mutlu Durum
28,392,Mutlu Durum
19,183,Şaşırmış Durum
-53,209,Heyecanlı Durum
-1162,142,Üzgün Durum
-53,175,Heyecanlı Durum
15,396,Mutlu Durum
21,206,Şaşırmış Durum
-49,154,Sinirli Durum
-104,695,Sinirli Durum
6,246,Şaşırmış Durum
-97,55,Heyecanlı Durum
24,445,Mutlu Durum
32,457,Mutlu Durum
-68,549,Sinirli Durum
7,224,Şaşırmış Durum
24,472,Mutlu Durum
-2253,51,Üzgün Durum
-39,230,Şaşırmış Durum
-54,24,Rahatlamış Durum
-2605,209,Üzgün Durum
-94,160,Heyecanlı Durum
1,257,Şaşırmış Durum
23,478,Mutlu Durum
-24,205,Heyecanlı Durum
-64,22,Rahatlamış Durum
-610,781,Üzgün Durum
29,152,Şaşırmış Durum
23,165,Heyecanlı Durum
-93,154,Sinirli Durum
-10,31,Rahatlamış Durum
25,169,Heyecanlı Durum
-77,98,Heyecanlı Durum
-20,194,Şaşırmış Durum
-23,166,Şaşırmış Durum
35,372,Mutlu Durum
17,448,Mutlu Durum
-58,70,Sinirli Durum
-25,18,Rahatlamış Durum
-56,205,Heyecanlı Durum
26,95,Heyecanlı Durum
-22,185,Şaşırmış Durum
-78,379,Sinirli Durum
-103,117,Sinirli Durum
31,433,Mutlu Durum
-3,12,Rahatlamış Durum
24,377,Mutlu Durum
-52,75,Sinirli Durum
-49,13,Rahatlamış Durum
21,415,Mutlu Durum
-28,224,Şaşırmış Durum
18,459,Mutlu Durum
-43,37,Rahatlamış Durum
-526,688,Üzgün Durum
16,434,Mutlu Durum
-1,149,Şaşırmış Durum
-25,80,Heyecanlı Durum
-15,60,Heyecanlı Durum
-46,257,Sinirli Durum
-42,110,Heyecanlı Durum
28,142,Şaşırmış Durum
29,114,Heyecanlı Durum
33,419,Mutlu Durum
-2678,374,Üzgün Durum
33,36,Rahatlamış Durum
-98,216,Heyecanlı Durum
-98,363,Sinirli Durum
-42,119,Heyecanlı Durum
-26,185,Şaşırmış Durum
23,138,Heyecanlı Durum
27,475,Mutlu Durum
-2932,306,Üzgün Durum
-2,156,Şaşırmış Durum
34,431,Mutlu Durum
-5,186,Heyecanlı Durum
-1777,697,Üzgün Durum
-51,20,Rahatlamış Durum
-37,707,Sinirli Durum
-102,62,Heyecanlı Durum
-73,114,Heyecanlı Durum
24,430,Mutlu Durum
28,360,Mutlu Durum
-35,30,Rahatlamış Durum
-96,58,Heyecanlı Durum
-23,191,Şaşırmış Durum
-36,352,Sinirli Durum
-36,14,Rahatlamış Durum
20,167,Heyecanlı Durum
-2753,562,Üzgün Durum
-89,265,Sinirli Durum
-1,201,Şaşırmış Durum
-57,24,Rahatlamış Durum
-73,737,Sinirli Durum
-92,454,Sinirli Durum
-1254,226,Üzgün Durum
-33,139,Heyecanlı Durum
-57,20,Rahatlamış Durum
-61,73,Heyecanlı Durum
11,76,Heyecanlı Durum
17,462,Mutlu Durum
-42,13,Rahatlamış Durum
-20,132,Heyecanlı Durum
-455,696,Üzgün Durum
-104,200,Sinirli Durum
-50,36,Rahatlamış Durum
-2933,268,Üzgün Durum
3,190,Şaşırmış Durum
17,145,Heyecanlı Durum
-70,795,Sinirli Durum
-93,125,Heyecanlı Durum
-53,25,Rahatlamış Durum
-46,33,Rahatlamış Durum
-33,251,Şaşırmış Durum
22,466,Mutlu Durum
14,145,Heyecanlı Durum
-972,200,Üzgün Durum
-42,786,Sinirli Durum
-323,262,Üzgün Durum
-16,70,Heyecanlı Durum
11,229,Şaşırmış Durum
28,14,Rahatlamış Durum
-27,187,Şaşırmış Durum
-418,478,Üzgün Durum
-492,745,Üzgün Durum
-37,199,Heyecanlı Durum
20,424,Mutlu Durum
-1783,663,Üzgün Durum
-88,213,Heyecanlı Durum
-9,170,Şaşırmış Durum
19,414,Mutlu Durum
9,26,Rahatlamış Durum
-750,506,Üzgün Durum
11,36,Rahatlamış Durum
-10,169,Heyecanlı Durum
17,476,Mutlu Durum
-26,175,Şaşırmış Durum
-69,725,Sinirli Durum
-77,173,Sinirli Durum
15,385,Mutlu Durum
-1089,374,Üzgün Durum
-7,139,Heyecanlı Durum
-1026,766,Üzgün Durum
35,359,Mutlu Durum
-2,129,Heyecanlı Durum
-6,135,Şaşırmış Durum
-12,171,Şaşırmış Durum
-60,59,Heyecanlı Durum
-2188,526,Üzgün Durum
19,387,Mutlu Durum
-17,72,Heyecanlı Durum
-650,589,Üzgün Durum
-8,211,Heyecanlı Durum
-1842,424,Üzgün Durum
-105,159,Heyecanlı Durum
11,218,Şaşırmış Durum
-55,74,Heyecanlı Durum
-2,20,Rahatlamış Durum
-105,467,Sinirli Durum
-66,27,Sinirli Durum
26,421,Mutlu Durum
25,144,Şaşırmış Durum
-924,638,Üzgün Durum
32,16,Rahatlamış Durum
33,448,Mutlu Durum
-29,225,Şaşırmış Durum
-8,152,Şaşırmış Durum
24,221,Şaşırmış Durum
-69,575,Sinirli Durum
-9,12,Rahatlamış Durum
-40,164,Şaşırmış Durum
24,208,Şaşırmış Durum
-57,817,Sinirli Durum
-3162,731,Üzgün Durum
32,28,Rahatlamış Durum
-75,749,Sinirli Durum
-98,164,Heyecanlı Durum
-89,728,Sinirli Durum
-2967,434,Üzgün Durum
-2724,639,Üzgün Durum
-46,129,Sinirli Durum
8,56,Heyecanlı Durum
-44,26,Rahatlamış Durum
19,395,Mutlu Durum
-64,25,Rahatlamış Durum
-40,74,Heyecanlı Durum
-4,150,Şaşırmış Durum
0,143,Şaşırmış Durum
-69,113,Heyecanlı Durum
24,396,Mutlu Durum
0,13,Rahatlamış Durum
19,364,Mutlu Durum
-55,317,Sinirli Durum
-99,410,Sinirli Durum
-37,453,Sinirli Durum
23,420,Mutlu Durum
19,426,Mutlu Durum
20,15,Rahatlamış Durum
-78,714,Sinirli Durum
-2839,147,Üzgün Durum
-19,145,Şaşırmış Durum
-42,696,Sinirli Durum
-32,11,Rahatlamış Durum
-39,771,Sinirli Durum
-46,659,Sinirli Durum
-103,109,Heyecanlı Durum
-40,231,Şaşırmış Durum
20,37,Rahatlamış Durum
-34,36,Rahatlamış Durum
-101,528,Sinirli Durum
-945,63,Üzgün Durum
26,362,Mutlu Durum
-44,11,Rahatlamış Durum
-20,245,Şaşırmış Durum
6,15,Rahatlamış Durum
23,137,Şaşırmış Durum
20,469,Mutlu Durum
9,11,Rahatlamış Durum
30,20,Rahatlamış Durum
-101,100,Heyecanlı Durum
26,375,Mutlu Durum
-73,681,Sinirli Durum
-98,656,Sinirli Durum
-50,334,Sinirli Durum
-6,37,Rahatlamış Durum
-40,156,Şaşırmış Durum
29,24,Rahatlamış Durum
35,390,Mutlu Durum
-2812,565,Üzgün Durum
33,143,Heyecanlı Durum
-2737,171,Üzgün Durum
-2414,669,Üzgün Durum
34,402,Mutlu Durum
29,19,Rahatlamış Durum
-252,304,Üzgün Durum
-69,13,Rahatlamış Durum
-2017,717,Üzgün Durum
-28,23,Rahatlamış Durum
-72,172,Heyecanlı Durum
-8,13,Rahatlamış Durum
-95,534,Sinirli Durum
-487,558,Üzgün Durum
-847,565,Üzgün Durum
-98,146,Heyecanlı Durum
19,220,Heyecanlı Durum
15,454,Mutlu Durum
-7,93,Heyecanlı Durum
-1314,766,Üzgün Durum
-46,586,Sinirli Durum
-58,140,Heyecanlı Durum
-35,57,Heyecanlı Durum
-347,793,Üzgün Durum
24,420,Mutlu Durum
-33,167,Şaşırmış Durum
-40,182,Şaşırmış Durum
-66,782,Sinirli Durum
-24,16,Rahatlamış Durum
25,428,Mutlu Durum
-2770,590,Üzgün Durum
-24,189,Heyecanlı Durum
-77,121,Heyecanlı Durum
-26,139,Şaşırmış Durum
20,423,Mutlu Durum
33,383,Mutlu Durum
19,410,Mutlu Durum
28,424,Mutlu Durum
25,232,Şaşırmış Durum
-90,770,Sinirli Durum
-11,57,Heyecanlı Durum
-795,295,Üzgün Durum
25,157,Şaşırmış Durum
-2714,635,Üzgün Durum
-40,178,Şaşırmış Durum
7,205,Heyecanlı Durum
3,228,Şaşırmış Durum
-95,327,Sinirli Durum
-1784,494,Üzgün Durum
-79,96,Heyecanlı Durum
-50,73,Heyecanlı Durum
18,31,Rahatlamış Durum
-80,176,Heyecanlı Durum
-43,183,Sinirli Durum
17,368,Mutlu Durum
31,442,Mutlu Durum
-223,301,Üzgün Durum
-36,233,Şaşırmış Durum
-2,20,Rahatlamış Durum
-85,245,Sinirli Durum
-83,50,Sinirli Durum
-679,567,Üzgün Durum
-2862,292,Üzgün Durum
7,132,Şaşırmış Durum
-1,65,Heyecanlı Durum
-23,29,Rahatlamış Durum
-525,461,Üzgün Durum
14,219,Şaşırmış Durum
-64,27,Rahatlamış Durum
-26,27,Rahatlamış Durum
-3118,185,Üzgün Durum
-37,414,Sinirli Durum
-8,227,Şaşırmış Durum
-20,24,Rahatlamış Durum
21,141,Şaşırmış Durum
-93,99,Sinirli Durum
-40,158,Heyecanlı Durum
-6,11,Rahatlamış Durum
-50,36,Rahatlamış Durum
23,362,Mutlu Durum
3,192,Şaşırmış Durum
-1962,660,Üzgün Durum
-19,163,Şaşırmış Durum
-15,15,Rahatlamış Durum
17,363,Mutlu Durum
-64,13,Rahatlamış Durum
-84,61,Heyecanlı Durum
-86,696,Sinirli Durum
-101,529,Sinirli Durum
1,141,Heyecanlı Durum
-1465,180,Üzgün Durum
-33,217,Üzgün Durum
34,401,Mutlu Durum
24,426,Mutlu Durum
-68,17,Rahatlamış Durum
-3041,575,Üzgün Durum
-461,131,Üzgün Durum
34,411,Mutlu Durum
-48,447,Sinirli Durum
19,221,Şaşırmış Durum
-1743,327,Üzgün Durum
32,471,Mutlu Durum
-19,20,Rahatlamış Durum
17,451,Mutlu Durum
-55,141,Heyecanlı Durum
-315,70,Üzgün Durum
10,12,Rahatlamış Durum
-2,170,Şaşırmış Durum
23,435,Mutlu Durum
35,449,Mutlu Durum
-94,739,Sinirli Durum
16,447,Mutlu Durum
-95,88,Heyecanlı Durum
-59,14,Rahatlamış Durum
-86,51,Sinirli Durum
-71,101,Heyecanlı Durum
28,417,Mutlu Durum
33,110,Heyecanlı Durum
30,20,Rahatlamış Durum
25,381,Mutlu Durum
-14,237,Şaşırmış Durum
-1,35,Rahatlamış Durum
-80,252,Sinirli Durum
18,34,Rahatlamış Durum
-87,158,Heyecanlı Durum
-43,490,Sinirli Durum
-83,809,Sinirli Durum
26,17,Rahatlamış Durum
-95,710,Sinirli Durum
-48,31,Rahatlamış Durum
14,204,Heyecanlı Durum
-2049,240,Üzgün Durum
-72,351,Sinirli Durum
-90,457,Sinirli Durum
22,380,Mutlu Durum
-26,182,Şaşırmış Durum
-6,211,Heyecanlı Durum
7,36,Rahatlamış Durum
23,446,Mutlu Durum
-64,12,Rahatlamış Durum
-42,16,Sinirli Durum
-52,327,Sinirli Durum
17,442,Mutlu Durum
-23,166,Şaşırmış Durum
-738,793,Üzgün Durum
-60,464,Sinirli Durum
-39,216,Şaşırmış Durum
-83,172,Sinirli Durum
-37,319,Sinirli Durum
23,406,Mutlu Durum
33,476,Mutlu Durum
-100,31,Sinirli Durum
-75,193,Heyecanlı Durum
-1926,744,Üzgün Durum
-83,696,Sinirli Durum
-60,198,Sinirli Durum
18,375,Mutlu Durum
21,435,Mutlu Durum
-2183,99,Üzgün Durum
-62,67,Heyecanlı Durum
34,352,Mutlu Durum
-29,13,Rahatlamış Durum
20,132,Şaşırmış Durum
18,463,Mutlu Durum
-1668,698,Üzgün Durum
-2612,480,Üzgün Durum
-33,145,Şaşırmış Durum
-74,637,Sinirli Durum
32,440,Mutlu Durum
27,433,Mutlu Durum
-1371,380,Üzgün Durum
15,404,Mutlu Durum
-65,266,Sinirli Durum
-7,22,Rahatlamış Durum
14,169,Heyecanlı Durum
15,420,Mutlu Durum
-104,523,Sinirli Durum
-58,26,Rahatlamış Durum
-43,731,Sinirli Durum
-2809,599,Üzgün Durum
-23,181,Heyecanlı Durum
0,161,Heyecanlı Durum
-2677,204,Üzgün Durum
-37,811,Sinirli Durum
-4,28,Rahatlamış Durum
-47,66,Sinirli Durum
-9,190,Şaşırmış Durum
-8,120,Heyecanlı Durum
-29,30,Rahatlamış Durum
-597,511,Üzgün Durum
-1583,10,Üzgün Durum
-65,515,Sinirli Durum
32,141,Heyecanlı Durum
-13,228,Şaşırmış Durum
-30,151,Şaşırmış Durum
-29,260,Şaşırmış Durum
10,201,Heyecanlı Durum
30,465,Mutlu Durum
-87,644,Sinirli Durum
-95,479,Sinirli Durum
15,26,Rahatlamış Durum
-3,254,Şaşırmış Durum
18,79,Heyecanlı Durum
-32,14,Rahatlamış Durum
23,195,Şaşırmış Durum
-56,32,Rahatlamış Durum
-20,209,Şaşırmış Durum
19,31,Rahatlamış Durum
-93,816,Sinirli Durum
-13,634,Üzgün Durum
24,394,Mutlu Durum
4,217,Şaşırmış Durum
-1920,198,Üzgün Durum
-14,78,Heyecanlı Durum
25,199,Heyecanlı Durum
-9,151,Şaşırmış Durum
-2624,786,Üzgün Durum
9,191,Heyecanlı Durum
28,465,Mutlu Durum
31,15,Rahatlamış Durum
30,398,Mutlu Durum
32,427,Mutlu Durum
-47,770,Sinirli Durum
-5,138,Şaşırmış Durum
-62,607,Sinirli Durum
-88,168,Heyecanlı Durum
-46,26,Rahatlamış Durum
20,186,Heyecanlı Durum
35,353,Mutlu Durum
-17,83,Heyecanlı Durum
28,33,Rahatlamış Durum
-69,35,Rahatlamış Durum
21,439,Mutlu Durum
-74,548,Sinirli Durum
-2112,581,Üzgün Durum
-10,14,Rahatlamış Durum
-61,87,Heyecanlı Durum
1,145,Şaşırmış Durum
-95,16,Sinirli Durum
-62,127,Sinirli Durum
21,434,Mutlu Durum
-732,694,Üzgün Durum
-99,415,Sinirli Durum
-53,294,Sinirli Durum
-69,23,Rahatlamış Durum
-20,138,Şaşırmış Durum
-13,185,Şaşırmış Durum
-55,476,Sinirli Durum
-22,182,Şaşırmış Durum
-79,163,Heyecanlı Durum
-83,579,Sinirli Durum
17,22,Rahatlamış Durum
25,697,Üzgün Durum
-36,37,Rahatlamış Durum
-36,264,Sinirli Durum
-1,220,Heyecanlı Durum
29,20,Rahatlamış Durum
-105,90,Heyecanlı Durum
-52,25,Rahatlamış Durum
22,362,Mutlu Durum
-48,11,Rahatlamış Durum
-75,289,Sinirli Durum
-40,226,Sinirli Durum
-66,137,Heyecanlı Durum
33,16,Rahatlamış Durum
-2,24,Rahatlamış Durum
33,429,Mutlu Durum
21,401,Mutlu Durum
32,441,Mutlu Durum
23,500,Üzgün Durum
-84,84,Heyecanlı Durum
29,461,Mutlu Durum
-27,171,Heyecanlı Durum
-41,667,Sinirli Durum
12,139,Şaşırmış Durum
12,129,Heyecanlı Durum
32,442,Mutlu Durum
20,402,Mutlu Durum
-104,503,Sinirli Durum
15,35,Rahatlamış Durum
-65,155,Heyecanlı Durum
11,147,Şaşırmış Durum
-1089,175,Üzgün Durum
29,416,Mutlu Durum
-92,793,Sinirli Durum
-28,130,Heyecanlı Durum
16,147,Heyecanlı Durum
15,400,Mutlu Durum
-9,164,Heyecanlı Durum
-5,32,Rahatlamış Durum
-2287,71,Üzgün Durum
4,15,Rahatlamış Durum
18,399,Mutlu Durum
-52,383,Sinirli Durum
-25,162,Şaşırmış Durum
35,415,Mutlu Durum
-20,74,Heyecanlı Durum
-2606,154,Üzgün Durum
9,17,Rahatlamış Durum
-87,750,Sinirli Durum
35,447,Mutlu Durum
-53,800,Sinirli Durum
-90,94,Heyecanlı Durum
-1046,136,Üzgün Durum
-35,108,Heyecanlı Durum
26,13,Rahatlamış Durum
-11,71,Heyecanlı Durum
-18,28,Rahatlamış Durum
-3,182,Heyecanlı Durum
-2,237,Şaşırmış Durum
-35,103,Heyecanlı Durum
3,116,Heyecanlı Durum
-706,536,Üzgün Durum
-268,786,Üzgün Durum
11,138,Heyecanlı Durum
29,37,Rahatlamış Durum
-40,154,Heyecanlı Durum
-49,703,Sinirli Durum
-68,644,Sinirli Durum
-34,200,Şaşırmış Durum
-70,324,Sinirli Durum
17,20,Rahatlamış Durum
-10,134,Şaşırmış Durum
17,379,Mutlu Durum
31,369,Mutlu Durum
19,412,Mutlu Durum
16,152,Şaşırmış Durum
31,425,Mutlu Durum
-52,131,Heyecanlı Durum
28,426,Mutlu Durum
28,197,Heyecanlı Durum
-1390,779,Üzgün Durum
18,400,Mutlu Durum
-1809,402,Üzgün Durum
-63,209,Sinirli Durum
-61,437,Sinirli Durum
26,59,Heyecanlı Durum
30,395,Mutlu Durum
-59,32,Rahatlamış Durum
-802,377,Üzgün Durum
7,133,Şaşırmış Durum
1,30,Rahatlamış Durum
-33,27,Rahatlamış Durum
21,384,Mutlu Durum
-2122,674,Üzgün Durum
25,23,Rahatlamış Durum
-55,159,Sinirli Durum
-63,31,Rahatlamış Durum
-66,692,Sinirli Durum
-2297,427,Üzgün Durum
-40,86,Sinirli Durum
-77,830,Sinirli Durum
-1408,555,Üzgün Durum
28,128,Şaşırmış Durum
-70,24,Rahatlamış Durum
-3131,157,Üzgün Durum
-91,745,Sinirli Durum
-39,568,Sinirli Durum
21,224,Şaşırmış Durum
-39,464,Sinirli Durum
6,31,Rahatlamış Durum
-46,33,Rahatlamış Durum
-47,24,Rahatlamış Durum
-1118,79,Üzgün Durum
9,18,Rahatlamış Durum
17,28,Rahatlamış Durum
-91,463,Sinirli Durum
-2089,738,Üzgün Durum
26,11,Rahatlamış Durum
-42,555,Sinirli Durum
-1257,199,Üzgün Durum
-868,782,Üzgün Durum
29,480,Mutlu Durum
-2763,280,Üzgün Durum
-1659,486,Üzgün Durum
2,27,Rahatlamış Durum
-373,535,Üzgün Durum
15,402,Mutlu Durum
-92,199,Heyecanlı Durum
-2062,373,Üzgün Durum
-91,401,Sinirli Durum
-35,235,Şaşırmış Durum
-79,147,Heyecanlı Durum
24,164,Heyecanlı Durum
-924,473,Üzgün Durum
-80,143,Sinirli Durum
28,238,Şaşırmış Durum
-2381,317,Üzgün Durum
21,391,Mutlu Durum
9,179,Şaşırmış Durum
-35,226,Şaşırmış Durum
-2857,793,Üzgün Durum
-72,72,Sinirli Durum
15,194,Şaşırmış Durum
25,395,Mutlu Durum
-35,175,Şaşırmış Durum
-69,22,Rahatlamış Durum
25,374,Mutlu Durum
9,154,Şaşırmış Durum
-99,293,Sinirli Durum
-1800,535,Üzgün Durum
28,479,Mutlu Durum
-36,176,Şaşırmış Durum
18,407,Mutlu Durum
-49,33,Rahatlamış Durum
27,426,Mutlu Durum
-26,21,Rahatlamış Durum
-3,168,Şaşırmış Durum
-81,96,Heyecanlı Durum
3,184,Şaşırmış Durum
-2393,721,Üzgün Durum
25,380,Mutlu Durum
15,186,Heyecanlı Durum
6,92,Heyecanlı Durum
-86,174,Heyecanlı Durum
-1881,557,Üzgün Durum
26,434,Mutlu Durum
-8,229,Şaşırmış Durum
-75,235,Sinirli Durum
6,90,Heyecanlı Durum
-5,224,Şaşırmış Durum
-7,67,Heyecanlı Durum
-1989,192,Üzgün Durum
-63,88,Sinirli Durum
-78,140,Sinirli Durum
-34,216,Heyecanlı Durum
-37,229,Şaşırmış Durum
15,162,Heyecanlı Durum
-1341,176,Üzgün Durum
-29,237,Şaşırmış Durum
-3,134,Şaşırmış Durum
19,375,Mutlu Durum
21,480,Mutlu Durum
16,258,Şaşırmış Durum
12,20,Rahatlamış Durum
-2784,584,Üzgün Durum
-76,696,Sinirli Durum
18,392,Mutlu Durum
29,354,Mutlu Durum
-21,254,Şaşırmış Durum
7,147,Heyecanlı Durum
-34,224,Şaşırmış Durum
-245,714,Üzgün Durum
-49,112,Heyecanlı Durum
-957,514,Üzgün Durum
-18,37,Rahatlamış Durum
-3102,664,Üzgün Durum
25,403,Mutlu Durum
17,128,Heyecanlı Durum
-77,778,Sinirli Durum
-43,726,Sinirli Durum
-61,18,Rahatlamış Durum
-78,180,Heyecanlı Durum
15,354,Mutlu Durum
17,362,Mutlu Durum
-1276,158,Üzgün Durum
-10,16,Rahatlamış Durum
28,19,Rahatlamış Durum
-250,71,Üzgün Durum
3,245,Şaşırmış Durum
-989,571,Üzgün Durum
-46,621,Sinirli Durum
18,477,Mutlu Durum
-18,195,Heyecanlı Durum
16,102,Heyecanlı Durum
-5,33,Rahatlamış Durum
-22,36,Rahatlamış Durum
23,23,Rahatlamış Durum
-85,710,Sinirli Durum
-75,502,Sinirli Durum
-77,633,Sinirli Durum
-648,214,Üzgün Durum
-101,188,Sinirli Durum
-99,329,Sinirli Durum
17,22,Rahatlamış Durum
-1,25,Rahatlamış Durum
8,84,Heyecanlı Durum
16,468,Mutlu Durum
-11,19,Rahatlamış Durum
28,459,Mutlu Durum
-55,12,Rahatlamış Durum
-41,119,Heyecanlı Durum
31,381,Mutlu Durum
-41,153,Heyecanlı Durum
-32,224,Şaşırmış Durum
24,31,Rahatlamış Durum
-52,755,Sinirli Durum
-65,671,Sinirli Durum
-50,550,Sinirli Durum
-37,26,Rahatlamış Durum
-1721,778,Üzgün Durum
-9,11,Rahatlamış Durum
-1085,359,Üzgün Durum
-56,35,Rahatlamış Durum
-1794,786,Üzgün Durum
-41,131,Heyecanlı Durum
-3141,294,Üzgün Durum
31,473,Mutlu Durum
27,444,Mutlu Durum
-82,496,Sinirli Durum
-2103,657,Üzgün Durum
-81,54,Sinirli Durum
-69,344,Sinirli Durum
-3227,233,Üzgün Durum
29,410,Mutlu Durum
-39,129,Şaşırmış Durum
-9,124,Heyecanlı Durum
-4,23,Rahatlamış Durum
-78,356,Sinirli Durum
19,14,Rahatlamış Durum
21,448,Mutlu Durum
30,184,Heyecanlı Durum
-41,147,Sinirli Durum
-1,30,Rahatlamış Durum
-105,633,Sinirli Durum
-98,54,Heyecanlı Durum
24,361,Mutlu Durum
-67,184,Heyecanlı Durum
19,444,Mutlu Durum
-32,153,Şaşırmış Durum
-64,113,Heyecanlı Durum
-3045,246,Üzgün Durum
-3011,163,Üzgün Durum
-3063,660,Üzgün Durum
-68,136,Sinirli Durum
-37,105,Sinirli Durum
